original_index,image_link,predicted_value
427,https://m.media-amazon.com/images/I/31FA-kVKufL.jpg,7.0 cm
431,https://m.media-amazon.com/images/I/31FEqYvWC+S.jpg,54.0 centimeter
433,https://m.media-amazon.com/images/I/31FG7liSrFS.jpg,10.2 inch
435,https://m.media-amazon.com/images/I/31FSOnHzONL.jpg,3.9 inch
438,https://m.media-amazon.com/images/I/31FW4wk2iyL.jpg,20.0 inch
439,https://m.media-amazon.com/images/I/31FXdO0GMRL.jpg,144mm
449,https://m.media-amazon.com/images/I/31FwzRkbbVL.jpg,52.0 centimeter
450,https://m.media-amazon.com/images/I/31G1y-GxcEL.jpg,30 cm
452,https://m.media-amazon.com/images/I/31G7epMfOJL.jpg,51.0 centimeter
453,https://m.media-amazon.com/images/I/31G9bxJzX1L.jpg,120 cm
454,https://m.media-amazon.com/images/I/31GBPN94J4L.jpg,101 cm
463,https://m.media-amazon.com/images/I/31GKLavjhUL.jpg,60.0 cm
474,https://m.media-amazon.com/images/I/31GxLDza1BL.jpg,35.0 inch
476,https://m.media-amazon.com/images/I/31GzBqi4wLL.jpg,13 inch
478,https://m.media-amazon.com/images/I/31H-iAPesuL.jpg,11.0 inch
482,https://m.media-amazon.com/images/I/31HApDlSQjS.jpg,175.0 centimeter
483,https://m.media-amazon.com/images/I/31HBk40RLYL.jpg,57.0 centimeter
484,https://m.media-amazon.com/images/I/31HJ1AfCIgL.jpg,30.0 centimeter
488,https://m.media-amazon.com/images/I/31HN4Cts-DL.jpg,3.9 inch
491,https://m.media-amazon.com/images/I/31HOaPtWAGS.jpg,80.0 centimeter
492,https://m.media-amazon.com/images/I/31HU1reGu2L.jpg,12.0 mm
497,https://m.media-amazon.com/images/I/31HVh9jcCuL.jpg,1.41 inch
502,https://m.media-amazon.com/images/I/31HdbJNq5pL.jpg,12.0 inch
507,https://m.media-amazon.com/images/I/31HkazRRetL.jpg,44 cm
509,https://m.media-amazon.com/images/I/31HmJQwLPTL.jpg,7.0 inch
513,https://m.media-amazon.com/images/I/31I2yf8JvVL.jpg,23 cm
516,https://m.media-amazon.com/images/I/31I8-Y0a4KL.jpg,2.5 cm
520,https://m.media-amazon.com/images/I/31IJu27VBVL.jpg,11.4 inch
522,https://m.media-amazon.com/images/I/31ILGfbqiGL.jpg,18.9 inch
523,https://m.media-amazon.com/images/I/31IVavGwvSL.jpg,67.0 cm
526,https://m.media-amazon.com/images/I/31Ig7stJhHL.jpg,3.9 inch
528,https://m.media-amazon.com/images/I/31IqIjyhMxL.jpg,21.2 inch
537,https://m.media-amazon.com/images/I/31JogsMfUiL.jpg,115.6 cm
545,https://m.media-amazon.com/images/I/31KSeXa5EtL.jpg,33.02 cm
557,https://m.media-amazon.com/images/I/31KogrDVMSL.jpg,4.0 inch
558,https://m.media-amazon.com/images/I/31KunvSIUEL.jpg,2.3 inch
569,https://m.media-amazon.com/images/I/31LNnSV4ssL.jpg,15.0 centimeter
577,https://m.media-amazon.com/images/I/31Lfi-0r4GL.jpg,7.8 inch
579,https://m.media-amazon.com/images/I/31LmviTSuzS.jpg,60 cm
594,https://m.media-amazon.com/images/I/31My4myObUL.jpg,54 cm
595,https://m.media-amazon.com/images/I/31MyPeRfncL.jpg,10.8 inch
603,https://m.media-amazon.com/images/I/31NJdI0tYUL.jpg,30.0 inch
605,https://m.media-amazon.com/images/I/31NWystBLAL.jpg,0.9 inch
609,https://m.media-amazon.com/images/I/31NiVVfrtkL.jpg,36 cm
612,https://m.media-amazon.com/images/I/31Nm2icfIAL.jpg,16 inch
619,https://m.media-amazon.com/images/I/31O9+vFSB-L.jpg,11 inch
625,https://m.media-amazon.com/images/I/31OFG4xW+cL.jpg,8.4 inch
628,https://m.media-amazon.com/images/I/31OJWuFdcSL.jpg,80.0 cm
633,https://m.media-amazon.com/images/I/31OfAlZvFbL.jpg,5.0 inch
641,https://m.media-amazon.com/images/I/31OziiGhERS.jpg,19 inch
643,https://m.media-amazon.com/images/I/31PFg7CpbRL.jpg,180.0 centimeter
656,https://m.media-amazon.com/images/I/31Pmjwj5MfL.jpg,27.56 inch
658,https://m.media-amazon.com/images/I/31Pv0lhCnaL.jpg,80 cm
664,https://m.media-amazon.com/images/I/31Q3ufZc2rS.jpg,26.0 cm
667,https://m.media-amazon.com/images/I/31QF-jsg7tS.jpg,53.5 centimeters
673,https://m.media-amazon.com/images/I/31QTiNSmDzL.jpg,17.0 inch
675,https://m.media-amazon.com/images/I/31QY4R5UNwL.jpg,100 cm
683,https://m.media-amazon.com/images/I/31Qr3xgnfqS.jpg,4.7 inch
687,https://m.media-amazon.com/images/I/31RN7b5v1GL.jpg,190.0 cm
704,https://m.media-amazon.com/images/I/31S1qi47m-L.jpg,6.0 centimeter
710,https://m.media-amazon.com/images/I/31ST1dpxjXL.jpg,35.5 cm
715,https://m.media-amazon.com/images/I/31SbWe3Zk1L.jpg,15 cm
716,https://m.media-amazon.com/images/I/31SclWjSYeL.jpg,36.0 cm
731,https://m.media-amazon.com/images/I/31TJEvx5qHL.jpg,49.99 cm
733,https://m.media-amazon.com/images/I/31TMmrktpHS.jpg,15.0 centimeter
741,https://m.media-amazon.com/images/I/31U-wZnkSxL.jpg,3.5 inch
756,https://m.media-amazon.com/images/I/31UcoL1WyRL.jpg,0.7 inch
759,https://m.media-amazon.com/images/I/31UjRlgwfmL.jpg,10 inch
763,https://m.media-amazon.com/images/I/31UmQ93gVPL.jpg,59.94 cm
765,https://m.media-amazon.com/images/I/31V4WiFGYcL.jpg,189.0 cm
769,https://m.media-amazon.com/images/I/31VCTwMT-fS.jpg,38.0 inch
777,https://m.media-amazon.com/images/I/31VTrcDZleL.jpg,3.4 centimeter
781,https://m.media-amazon.com/images/I/31VdNAr6V-L.jpg,81mm
784,https://m.media-amazon.com/images/I/31VpjVnk92S.jpg,19 inch
790,https://m.media-amazon.com/images/I/31VxEURXdDL.jpg,3.8 inch
794,https://m.media-amazon.com/images/I/31W+zPEEUkL.jpg,15.35 inch
798,https://m.media-amazon.com/images/I/31W4QpnIhtL.jpg,12.0 cm
801,https://m.media-amazon.com/images/I/31WGRmNVxZL.jpg,22 inch
805,https://m.media-amazon.com/images/I/31WWm3-mSFL.jpg,26 inch
807,https://m.media-amazon.com/images/I/31WcA6vocGL.jpg,13.0 inch
813,https://m.media-amazon.com/images/I/31Wn3-WCaoL.jpg,31.0 centimeter
821,https://m.media-amazon.com/images/I/31X-pcS3thL.jpg,60.0 cm
836,https://m.media-amazon.com/images/I/31XqWDpJSXL.jpg,25mm
840,https://m.media-amazon.com/images/I/31Xt4XZIPqL.jpg,75 cm
846,https://m.media-amazon.com/images/I/31YGoffLp4L.jpg,57 cm
855,https://m.media-amazon.com/images/I/31ZCPpmBvML.jpg,760 cm
864,https://m.media-amazon.com/images/I/31ZWo20AwlL.jpg,7.0 cm
868,https://m.media-amazon.com/images/I/31Zkmr+YOaL.jpg,39.00 inch
878,https://m.media-amazon.com/images/I/31aQDVjGh9L.jpg,33.5 cm
880,https://m.media-amazon.com/images/I/31aX2BYxb6L.jpg,12.3 cm
882,https://m.media-amazon.com/images/I/31anWf0z-WL.jpg,3.14 inch
889,https://m.media-amazon.com/images/I/31axuoFNG4L.jpg,120.0 centimeter
901,https://m.media-amazon.com/images/I/31bUTbLCDWL.jpg,6.0 cm
907,https://m.media-amazon.com/images/I/31bfoFzsZeL.jpg,41 inch
915,https://m.media-amazon.com/images/I/31c0QwlHIgL.jpg,12.9 inch
922,https://m.media-amazon.com/images/I/31cEm8aKbBL.jpg,70.5 cm
923,https://m.media-amazon.com/images/I/31cJrCj8uES.jpg,30.0 centimeter
928,https://m.media-amazon.com/images/I/31cexzEsm7L.jpg,9.2 inch
931,https://m.media-amazon.com/images/I/31chl6qYZlL.jpg,183.5 cm
945,https://m.media-amazon.com/images/I/31dEMPcziHL.jpg,36 inches
948,https://m.media-amazon.com/images/I/31dpeWbzpwL.jpg,1.18 inch
953,https://m.media-amazon.com/images/I/31dylT3HfgL.jpg,70.0 cm
955,https://m.media-amazon.com/images/I/31e+H6elvgL.jpg,120 centimeters
956,https://m.media-amazon.com/images/I/31eA+PIP88L.jpg,190.37mm
958,https://m.media-amazon.com/images/I/31eCil-RbjL.jpg,185mm
964,https://m.media-amazon.com/images/I/31eLkbn0O1L.jpg,28.0 cm
973,https://m.media-amazon.com/images/I/31ep9VWhEeL.jpg,2.75 inch
976,https://m.media-amazon.com/images/I/31erT-xzq7L.jpg,8.0 inch
983,https://m.media-amazon.com/images/I/31fWzsgctZL.jpg,88.6 inch
984,https://m.media-amazon.com/images/I/31fcc1LXQrL.jpg,152.4 cm
986,https://m.media-amazon.com/images/I/31fvUHSejGL.jpg,38.5 cm
988,https://m.media-amazon.com/images/I/31fwpf6yMtL.jpg,18.0 inch
989,https://m.media-amazon.com/images/I/31g0kvi00EL.jpg,10.5 inch
993,https://m.media-amazon.com/images/I/31g26-en3PL.jpg,3.34 inch
995,https://m.media-amazon.com/images/I/31g2J-R9WWL.jpg,1.5 feet
1015,https://m.media-amazon.com/images/I/31h8L87PJmL.jpg,47.0 inch
1029,https://m.media-amazon.com/images/I/31ht1XGdv5L.jpg,17.68 inch
1037,https://m.media-amazon.com/images/I/31ijDcEJcnL.jpg,5.0 centimeter
1040,https://m.media-amazon.com/images/I/31iwnJ-f0xL.jpg,70.0 cm
1049,https://m.media-amazon.com/images/I/31jRGx3VuDL.jpg,14 inch
1051,https://m.media-amazon.com/images/I/31jSCvFq5-L.jpg,29.5 centimeter
1054,https://m.media-amazon.com/images/I/31jeFiOfdCL.jpg,35 cm
1055,https://m.media-amazon.com/images/I/31jfZVlD1mL.jpg,20.6 cm
1056,https://m.media-amazon.com/images/I/31jsOtPDLyL.jpg,5.2 inch
1064,https://m.media-amazon.com/images/I/31k51yIlB+L.jpg,128 inch
1067,https://m.media-amazon.com/images/I/31kInWAVHtL.jpg,23.0 centimeter
1069,https://m.media-amazon.com/images/I/31kLQCKz8eS.jpg,7.0 inch
1072,https://m.media-amazon.com/images/I/31kRlt1jVaL.jpg,78.7 inch
1078,https://m.media-amazon.com/images/I/31kZfej3fnL.jpg,8.0 inch
1079,https://m.media-amazon.com/images/I/31klxqbnGkL.jpg,15 inches
1083,https://m.media-amazon.com/images/I/31kpxvr31LL.jpg,19.84 inch
1087,https://m.media-amazon.com/images/I/31lAm48DCdL.jpg,10.0 cm
1090,https://m.media-amazon.com/images/I/31lEoRscRYL.jpg,11.6 inch
1092,https://m.media-amazon.com/images/I/31lOQrV3DQL.jpg,15.8mm
1096,https://m.media-amazon.com/images/I/31lSM3lwCRL.jpg,6.0 centimeter
1102,https://m.media-amazon.com/images/I/31lwabJ8qzL.jpg,69 inch
1105,https://m.media-amazon.com/images/I/31m+VXL+YQL.jpg,68 cm
1111,https://m.media-amazon.com/images/I/31mLuTPgw5L.jpg,180 cm
1114,https://m.media-amazon.com/images/I/31mXeVQtMeL.jpg,192 cm
1116,https://m.media-amazon.com/images/I/31mYkfSWbxL.jpg,7.47 inch
1117,https://m.media-amazon.com/images/I/31mcdP6+8nL.jpg,10 inch
1124,https://m.media-amazon.com/images/I/31miANRRjoL.jpg,48 cm
1132,https://m.media-amazon.com/images/I/31n-x4o9fPS.jpg,47.0 centimeter
1137,https://m.media-amazon.com/images/I/31n5dZ+h-VL.jpg,14.0 centimeter
1138,https://m.media-amazon.com/images/I/31n6tk4a9bL.jpg,21.0 centimeter
1140,https://m.media-amazon.com/images/I/31n87CYjEmL.jpg,100 cm
1144,https://m.media-amazon.com/images/I/31nKT7p+e8L.jpg,7.87 inch
1151,https://m.media-amazon.com/images/I/31nc6ijWZaL.jpg,29.5 centimeter
1153,https://m.media-amazon.com/images/I/31ncXbF7evL.jpg,24 cm
1162,https://m.media-amazon.com/images/I/31o2ymMWD7L.jpg,76.0 cm
1164,https://m.media-amazon.com/images/I/31oBq12OCQL.jpg,60.0 inch
1168,https://m.media-amazon.com/images/I/31oPhwenzyL.jpg,11.6 inch
1170,https://m.media-amazon.com/images/I/31oiAN1tviL.jpg,3.9 inch
1172,https://m.media-amazon.com/images/I/31omj7O2rpL.jpg,8.0 cm
1183,https://m.media-amazon.com/images/I/31pSM+ji8sS.jpg,98.0 cm
1187,https://m.media-amazon.com/images/I/31pXmanN36S.jpg,15 inch
1190,https://m.media-amazon.com/images/I/31pjIg8uu5L.jpg,40mm
1192,https://m.media-amazon.com/images/I/31pjki3w1xS.jpg,180 cm
1195,https://m.media-amazon.com/images/I/31pngVo3aGS.jpg,60 centimeter
1198,https://m.media-amazon.com/images/I/31poMku-kKL.jpg,3.14 inch
1199,https://m.media-amazon.com/images/I/31porpKxyrL.jpg,48.26 cm
1202,https://m.media-amazon.com/images/I/31pqoHDvL8L.jpg,72.0 cm
1206,https://m.media-amazon.com/images/I/31pwTIy-5RL.jpg,103.5 cm
1215,https://m.media-amazon.com/images/I/31qLDUaLloL.jpg,60.0 centimeter
1228,https://m.media-amazon.com/images/I/31qqd5JWwhL.jpg,20.0 cm
1234,https://m.media-amazon.com/images/I/31r3HPLDgHL.jpg,76.2 centimeters
1236,https://m.media-amazon.com/images/I/31r7Qyl1RnL.jpg,53.0 cm
1238,https://m.media-amazon.com/images/I/31rORT-2eNL.jpg,41 inch
1242,https://m.media-amazon.com/images/I/31rYQufMHpL.jpg,14.57 inch
1244,https://m.media-amazon.com/images/I/31rd9mCorgL.jpg,5.0 cm
1248,https://m.media-amazon.com/images/I/31rumCc2xqL.jpg,4.9 inch
1251,https://m.media-amazon.com/images/I/31s493IhqVL.jpg,6.0 centimeter
1257,https://m.media-amazon.com/images/I/31sYm5-2WaL.jpg,9.8 centimeters
1261,https://m.media-amazon.com/images/I/31sfcs4ILRS.jpg,2.4 inch
1262,https://m.media-amazon.com/images/I/31sgze+dQ0L.jpg,16.73 inch
1269,https://m.media-amazon.com/images/I/31tNtkE0QeL.jpg,63.09 cm
1274,https://m.media-amazon.com/images/I/31tXwsuJVnL.jpg,150mm
1297,https://m.media-amazon.com/images/I/31uj4FT7LzL.jpg,7.88 inch
1301,https://m.media-amazon.com/images/I/31um35U4IlL.jpg,60.0 cm
1306,https://m.media-amazon.com/images/I/31uyYOMvpHL.jpg,160 cm
1311,https://m.media-amazon.com/images/I/31v3bbHMoBL.jpg,35.5 inches
1313,https://m.media-amazon.com/images/I/31v6b+gZzIL.jpg,2.5 centimeter
1314,https://m.media-amazon.com/images/I/31v8ojoOP3L.jpg,15.8 inch
1317,https://m.media-amazon.com/images/I/31vCIBhaM4L.jpg,3.3 inch
1322,https://m.media-amazon.com/images/I/31vTiHq3x-L.jpg,25 centimeters
1325,https://m.media-amazon.com/images/I/31vdcfh155S.jpg,2.5 inch
1333,https://m.media-amazon.com/images/I/31w6ozZ6ssL.jpg,210 centimeter
1336,https://m.media-amazon.com/images/I/31w8A5ql+KL.jpg,1.85 inch
1338,https://m.media-amazon.com/images/I/31w8hVCRVLS.jpg,32 cm
1340,https://m.media-amazon.com/images/I/31wHcSCfMKL.jpg,110 cm
1344,https://m.media-amazon.com/images/I/31weY-P9n8L.jpg,12.0 inch
1354,https://m.media-amazon.com/images/I/31xPuxDbBiL.jpg,1.77 inch
1358,https://m.media-amazon.com/images/I/31xS2QWchcL.jpg,6.0 inch
1359,https://m.media-amazon.com/images/I/31xbMHUIl+L.jpg,60.0 cm
1360,https://m.media-amazon.com/images/I/31xbkd48TqL.jpg,4.5 inch
1362,https://m.media-amazon.com/images/I/31xsW-UH+CS.jpg,8.0 mm
1366,https://m.media-amazon.com/images/I/31y+k+NqDOL.jpg,30 inch
1374,https://m.media-amazon.com/images/I/31yPUCkh7xS.jpg,50.0 cm
1381,https://m.media-amazon.com/images/I/31ygDEZXkcL.jpg,13.39 inch
1382,https://m.media-amazon.com/images/I/31yizkAghlL.jpg,111.5 cm
1387,https://m.media-amazon.com/images/I/31z7jReOCKL.jpg,2.3 CMS
1391,https://m.media-amazon.com/images/I/31zPL45TXkL.jpg,1600 inch
1394,https://m.media-amazon.com/images/I/31zXiH3f0NS.jpg,76.0 cm
1395,https://m.media-amazon.com/images/I/31zaQqsOO3L.jpg,41.7 inch
1406,https://m.media-amazon.com/images/I/41+-kMmUcVL.jpg,4.5 inch
1419,https://m.media-amazon.com/images/I/41+35a66LsL.jpg,50.0 cm
1423,https://m.media-amazon.com/images/I/41+4F66peKL.jpg,0.74 meter
1428,https://m.media-amazon.com/images/I/41+5SOqD83L.jpg,14.4 cm
1431,https://m.media-amazon.com/images/I/41+6Rfhsu8L.jpg,3.75 inch
1436,https://m.media-amazon.com/images/I/41+7YFt7FLS.jpg,120 cm
1442,https://m.media-amazon.com/images/I/41+8QWbndmL.jpg,29.5 cm
1453,https://m.media-amazon.com/images/I/41+DuGHwaxL.jpg,17.0 centimeter
1456,https://m.media-amazon.com/images/I/41+E33tKXNL.jpg,50.0 inch
1462,https://m.media-amazon.com/images/I/41+FMg3t0-S.jpg,3.3 inch
1463,https://m.media-amazon.com/images/I/41+FPfvxknL.jpg,22.5 centimeters
1471,https://m.media-amazon.com/images/I/41+HhJmAXPL.jpg,168mm
1474,https://m.media-amazon.com/images/I/41+IijyZEOL.jpg,30.0 inch
1478,https://m.media-amazon.com/images/I/41+JZad4P8L.jpg,40.0 cm
1479,https://m.media-amazon.com/images/I/41+JjdFFC0L.jpg,88 inch
1481,https://m.media-amazon.com/images/I/41+LF3pDLVL.jpg,50mm
1485,https://m.media-amazon.com/images/I/41+LQBq6OpL.jpg,78 cm
1489,https://m.media-amazon.com/images/I/41+LmDJjfqL.jpg,205mm
1495,https://m.media-amazon.com/images/I/41+NqE5fEsL.jpg,13.8 inch
1496,https://m.media-amazon.com/images/I/41+NuR1-CAL.jpg,44 inch
1499,https://m.media-amazon.com/images/I/41+Oa0ecxjL.jpg,2.1 inch
1500,https://m.media-amazon.com/images/I/41+OtDYR+0L.jpg,0.4 inch
1502,https://m.media-amazon.com/images/I/41+P242KVIL.jpg,90.0 cm
1505,https://m.media-amazon.com/images/I/41+PqBPMJ7L.jpg,580 mm
1507,https://m.media-amazon.com/images/I/41+QTi+52iL.jpg,8.6 inch
1520,https://m.media-amazon.com/images/I/41+SsNGGzKL.jpg,57.0 cm
1524,https://m.media-amazon.com/images/I/41+TtoUhjtL.jpg,18.0 cm
1529,https://m.media-amazon.com/images/I/41+UgZVX2mL.jpg,71.26 inch
1539,https://m.media-amazon.com/images/I/41+XO2Wd+gL.jpg,5.0 centimeters
1544,https://m.media-amazon.com/images/I/41+Z1-xIldS.jpg,220 cm
1558,https://m.media-amazon.com/images/I/41+c1yJ0fVL.jpg,8.3 inch
1562,https://m.media-amazon.com/images/I/41+cFM2ikvS.jpg,80.0 cm
1564,https://m.media-amazon.com/images/I/41+cIL-RXAL.jpg,26.4 cm
1567,https://m.media-amazon.com/images/I/41+dQhZvsXL.jpg,2.5 inch
1570,https://m.media-amazon.com/images/I/41+db96fGuL.jpg,57.66 cm
1585,https://m.media-amazon.com/images/I/41+faj7T5wS.jpg,35.0 cm
1587,https://m.media-amazon.com/images/I/41+fxt69qOL.jpg,25.8mm
1590,https://m.media-amazon.com/images/I/41+gZgwWMlL.jpg,5.7 inch
1592,https://m.media-amazon.com/images/I/41+h3yqoulL.jpg,42.0 inch
1600,https://m.media-amazon.com/images/I/41+imua1ItL.jpg,15.0 inch
1607,https://m.media-amazon.com/images/I/41+kjvIpc-L.jpg,3.25 inch
1613,https://m.media-amazon.com/images/I/41+lIGUf7wL.jpg,3.9 inch
1616,https://m.media-amazon.com/images/I/41+nTEmtVNL.jpg,6.48 inch
1630,https://m.media-amazon.com/images/I/41+oYeXvEVL.jpg,2.9 inch
1636,https://m.media-amazon.com/images/I/41+qcAwsW5L.jpg,7.87 inch
1645,https://m.media-amazon.com/images/I/41+sDqRXkeL.jpg,3.0 inch
1647,https://m.media-amazon.com/images/I/41+sF7a5cBS.jpg,7.5 cm
1650,https://m.media-amazon.com/images/I/41+t3P0Ip6L.jpg,160 cm
1651,https://m.media-amazon.com/images/I/41+tBt8X3xL.jpg,100 cm
1658,https://m.media-amazon.com/images/I/41+uDyyzphL.jpg,13 inch
1660,https://m.media-amazon.com/images/I/41+uKkKxF+L.jpg,15.0 cm
1671,https://m.media-amazon.com/images/I/41+vLTyf4qL.jpg,6.0 cm
1672,https://m.media-amazon.com/images/I/41+vTV0+jNS.jpg,65.0 cm
1674,https://m.media-amazon.com/images/I/41+wFihYw0S.jpg,15.5 centimeters
1677,https://m.media-amazon.com/images/I/41+y3payABL.jpg,34.0 inch
1680,https://m.media-amazon.com/images/I/41+yr3ShhCL.jpg,11.02 inch
1686,https://m.media-amazon.com/images/I/41-++wjOaUL.jpg,41 inch
1687,https://m.media-amazon.com/images/I/41-+4efJF6L.jpg,16mm
1694,https://m.media-amazon.com/images/I/41-0fjR3K1L.jpg,5.9 inch
